"","Passenger.Name","Passenger.Sex","Passsenger.Age","Passenger.Survived","Passenger.Class"
"1129","Petroff, Mr. Pastcho (""Pentcho"")","Male",NA,"NO","3rd Class"
"1130","Petterson, Mr. Johan Emil","Male",25,"NO","3rd Class"
"1131","Pettersson, Miss. Ellen Natalia","Female",18,"NO","3rd Class"
"1132","Pickard, Mr. Berk (Berk Trembisky)","Male",32,"YES","3rd Class"
"1133","Plotcharsky, Mr. Vasil","Male",NA,"NO","3rd Class"
"1134","Pokrnic, Mr. Mate","Male",17,"NO","3rd Class"
"1135","Pokrnic, Mr. Tome","Male",24,"NO","3rd Class"
"1136","Radeff, Mr. Alexander","Male",NA,"NO","3rd Class"
"1137","Rasmussen, Mrs. (Lena Jacobsen Solvang)","Female",NA,"NO","3rd Class"
"1138","Razi, Mr. Raihed","Male",NA,"NO","3rd Class"
"1139","Reed, Mr. James George","Male",NA,"NO","3rd Class"
"1140","Rekic, Mr. Tido","Male",38,"NO","3rd Class"
"1141","Reynolds, Mr. Harold J","Male",21,"NO","3rd Class"
"1142","Rice, Master. Albert","Male",10,"NO","3rd Class"
"1143","Rice, Master. Arthur","Male",4,"NO","3rd Class"
"1144","Rice, Master. Eric","Male",7,"NO","3rd Class"
"1145","Rice, Master. Eugene","Male",2,"NO","3rd Class"
"1146","Rice, Master. George Hugh","Male",8,"NO","3rd Class"
"1147","Rice, Mrs. William (Margaret Norton)","Female",39,"NO","3rd Class"
"1148","Riihivouri, Miss. Susanna Juhantytar ""Sanni""","Female",22,"NO","3rd Class"
"1149","Rintamaki, Mr. Matti","Male",35,"NO","3rd Class"
"1150","Riordan, Miss. Johanna ""Hannah""","Female",NA,"YES","3rd Class"
"1151","Risien, Mr. Samuel Beard","Male",NA,"NO","3rd Class"
"1152","Risien, Mrs. Samuel (Emma)","Female",NA,"NO","3rd Class"
"1153","Robins, Mr. Alexander A","Male",50,"NO","3rd Class"
"1154","Robins, Mrs. Alexander A (Grace Charity Laury)","Female",47,"NO","3rd Class"
"1155","Rogers, Mr. William John","Male",NA,"NO","3rd Class"
"1156","Rommetvedt, Mr. Knud Paust","Male",NA,"NO","3rd Class"
"1157","Rosblom, Miss. Salli Helena","Female",2,"NO","3rd Class"
"1158","Rosblom, Mr. Viktor Richard","Male",18,"NO","3rd Class"
"1159","Rosblom, Mrs. Viktor (Helena Wilhelmina)","Female",41,"NO","3rd Class"
"1160","Roth, Miss. Sarah A","Female",NA,"YES","3rd Class"
"1161","Rouse, Mr. Richard Henry","Male",50,"NO","3rd Class"
"1162","Rush, Mr. Alfred George John","Male",16,"NO","3rd Class"
"1163","Ryan, Mr. Edward","Male",NA,"YES","3rd Class"
"1164","Ryan, Mr. Patrick","Male",NA,"NO","3rd Class"
"1165","Saad, Mr. Amin","Male",NA,"NO","3rd Class"
"1166","Saad, Mr. Khalil","Male",25,"NO","3rd Class"
"1167","Saade, Mr. Jean Nassr","Male",NA,"NO","3rd Class"
"1168","Sadlier, Mr. Matthew","Male",NA,"NO","3rd Class"
"1169","Sadowitz, Mr. Harry","Male",NA,"NO","3rd Class"
"1170","Saether, Mr. Simon Sivertsen","Male",38,"NO","3rd Class"
"1171","Sage, Master. Thomas Henry","Male",NA,"NO","3rd Class"
"1172","Sage, Master. William Henry","Male",14,"NO","3rd Class"
"1173","Sage, Miss. Ada","Female",NA,"NO","3rd Class"
"1174","Sage, Miss. Constance Gladys","Female",NA,"NO","3rd Class"
"1175","Sage, Miss. Dorothy Edith ""Dolly""","Female",NA,"NO","3rd Class"
"1176","Sage, Miss. Stella Anna","Female",NA,"NO","3rd Class"
"1177","Sage, Mr. Douglas Bullen","Male",NA,"NO","3rd Class"
"1178","Sage, Mr. Frederick","Male",NA,"NO","3rd Class"
"1179","Sage, Mr. George John Jr","Male",NA,"NO","3rd Class"
"1180","Sage, Mr. John George","Male",NA,"NO","3rd Class"
"1181","Sage, Mrs. John (Annie Bullen)","Female",NA,"NO","3rd Class"
"1182","Salander, Mr. Karl Johan","Male",24,"NO","3rd Class"
"1183","Salkjelsvik, Miss. Anna Kristine","Female",21,"YES","3rd Class"
"1184","Salonen, Mr. Johan Werner","Male",39,"NO","3rd Class"
"1185","Samaan, Mr. Elias","Male",NA,"NO","3rd Class"
"1186","Samaan, Mr. Hanna","Male",NA,"NO","3rd Class"
"1187","Samaan, Mr. Youssef","Male",NA,"NO","3rd Class"
"1188","Sandstrom, Miss. Beatrice Irene","Female",1,"YES","3rd Class"
"1189","Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)","Female",24,"YES","3rd Class"
"1190","Sandstrom, Miss. Marguerite Rut","Female",4,"YES","3rd Class"
"1191","Sap, Mr. Julius","Male",25,"YES","3rd Class"
"1192","Saundercock, Mr. William Henry","Male",20,"NO","3rd Class"
"1193","Sawyer, Mr. Frederick Charles","Male",24,"NO","3rd Class"
"1194","Scanlan, Mr. James","Male",NA,"NO","3rd Class"
"1195","Sdycoff, Mr. Todor","Male",NA,"NO","3rd Class"
"1196","Shaughnessy, Mr. Patrick","Male",NA,"NO","3rd Class"
"1197","Sheerlinck, Mr. Jan Baptist","Male",29,"YES","3rd Class"
"1198","Shellard, Mr. Frederick William","Male",NA,"NO","3rd Class"
"1199","Shine, Miss. Ellen Natalia","Female",NA,"YES","3rd Class"
"1200","Shorney, Mr. Charles Joseph","Male",NA,"NO","3rd Class"
"1201","Simmons, Mr. John","Male",NA,"NO","3rd Class"
"1202","Sirayanian, Mr. Orsen","Male",22,"NO","3rd Class"
"1203","Sirota, Mr. Maurice","Male",NA,"NO","3rd Class"
"1204","Sivic, Mr. Husein","Male",40,"NO","3rd Class"
"1205","Sivola, Mr. Antti Wilhelm","Male",21,"NO","3rd Class"
"1206","Sjoblom, Miss. Anna Sofia","Female",18,"YES","3rd Class"
"1207","Skoog, Master. Harald","Male",4,"NO","3rd Class"
"1208","Skoog, Master. Karl Thorsten","Male",10,"NO","3rd Class"
"1209","Skoog, Miss. Mabel","Female",9,"NO","3rd Class"
"1210","Skoog, Miss. Margit Elizabeth","Female",2,"NO","3rd Class"
"1211","Skoog, Mr. Wilhelm","Male",40,"NO","3rd Class"
"1212","Skoog, Mrs. William (Anna Bernhardina Karlsson)","Female",45,"NO","3rd Class"
"1213","Slabenoff, Mr. Petco","Male",NA,"NO","3rd Class"
"1214","Slocovski, Mr. Selman Francis","Male",NA,"NO","3rd Class"
"1215","Smiljanic, Mr. Mile","Male",NA,"NO","3rd Class"
"1216","Smith, Mr. Thomas","Male",NA,"NO","3rd Class"
"1217","Smyth, Miss. Julia","Female",NA,"YES","3rd Class"
"1218","Soholt, Mr. Peter Andreas Lauritz Andersen","Male",19,"NO","3rd Class"
"1219","Somerton, Mr. Francis William","Male",30,"NO","3rd Class"
"1220","Spector, Mr. Woolf","Male",NA,"NO","3rd Class"
"1221","Spinner, Mr. Henry John","Male",32,"NO","3rd Class"
"1222","Staneff, Mr. Ivan","Male",NA,"NO","3rd Class"
"1223","Stankovic, Mr. Ivan","Male",33,"NO","3rd Class"
"1224","Stanley, Miss. Amy Zillah Elsie","Female",23,"YES","3rd Class"
"1225","Stanley, Mr. Edward Roland","Male",21,"NO","3rd Class"
"1226","Storey, Mr. Thomas","Male",60,"NO","3rd Class"
"1227","Stoytcheff, Mr. Ilia","Male",19,"NO","3rd Class"
"1228","Strandberg, Miss. Ida Sofia","Female",22,"NO","3rd Class"
"1229","Stranden, Mr. Juho","Male",31,"YES","3rd Class"
"1230","Strilic, Mr. Ivan","Male",27,"NO","3rd Class"
"1231","Strom, Miss. Telma Matilda","Female",2,"NO","3rd Class"
"1232","Strom, Mrs. Wilhelm (Elna Matilda Persson)","Female",29,"NO","3rd Class"
"1233","Sunderland, Mr. Victor Francis","Male",16,"YES","3rd Class"
"1234","Sundman, Mr. Johan Julian","Male",44,"YES","3rd Class"
"1235","Sutehall, Mr. Henry Jr","Male",25,"NO","3rd Class"
"1236","Svensson, Mr. Johan","Male",74,"NO","3rd Class"
"1237","Svensson, Mr. Johan Cervin","Male",14,"YES","3rd Class"
"1238","Svensson, Mr. Olof","Male",24,"NO","3rd Class"
"1239","Tenglin, Mr. Gunnar Isidor","Male",25,"YES","3rd Class"
"1240","Theobald, Mr. Thomas Leonard","Male",34,"NO","3rd Class"
"1241","Thomas, Master. Assad Alexander","Male",0,"YES","3rd Class"
"1242","Thomas, Mr. Charles P","Male",NA,"NO","3rd Class"
"1243","Thomas, Mr. John","Male",NA,"NO","3rd Class"
"1244","Thomas, Mr. Tannous","Male",NA,"NO","3rd Class"
"1245","Thomas, Mrs. Alexander (Thamine ""Thelma"")","Female",16,"YES","3rd Class"
"1246","Thomson, Mr. Alexander Morrison","Male",NA,"NO","3rd Class"
"1247","Thorneycroft, Mr. Percival","Male",NA,"NO","3rd Class"
"1248","Thorneycroft, Mrs. Percival (Florence Kate White)","Female",NA,"YES","3rd Class"
"1249","Tikkanen, Mr. Juho","Male",32,"NO","3rd Class"
"1250","Tobin, Mr. Roger","Male",NA,"NO","3rd Class"
"1251","Todoroff, Mr. Lalio","Male",NA,"NO","3rd Class"
"1252","Tomlin, Mr. Ernest Portage","Male",30,"NO","3rd Class"
"1253","Torber, Mr. Ernst William","Male",44,"NO","3rd Class"
"1254","Torfa, Mr. Assad","Male",NA,"NO","3rd Class"
"1255","Tornquist, Mr. William Henry","Male",25,"YES","3rd Class"
"1256","Toufik, Mr. Nakli","Male",NA,"NO","3rd Class"
"1257","Touma, Master. Georges Youssef","Male",7,"YES","3rd Class"
"1258","Touma, Miss. Maria Youssef","Female",9,"YES","3rd Class"
"1259","Touma, Mrs. Darwis (Hanne Youssef Razi)","Female",29,"YES","3rd Class"
"1260","Turcin, Mr. Stjepan","Male",36,"NO","3rd Class"
"1261","Turja, Miss. Anna Sofia","Female",18,"YES","3rd Class"
"1262","Turkula, Mrs. (Hedwig)","Female",63,"YES","3rd Class"
"1263","van Billiard, Master. James William","Male",NA,"NO","3rd Class"
"1264","van Billiard, Master. Walter John","Male",11,"NO","3rd Class"
"1265","van Billiard, Mr. Austin Blyler","Male",40,"NO","3rd Class"
"1266","Van Impe, Miss. Catharina","Female",10,"NO","3rd Class"
"1267","Van Impe, Mr. Jean Baptiste","Male",36,"NO","3rd Class"
"1268","Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)","Female",30,"NO","3rd Class"
"1269","van Melkebeke, Mr. Philemon","Male",NA,"NO","3rd Class"
"1270","Vande Velde, Mr. Johannes Joseph","Male",33,"NO","3rd Class"
"1271","Vande Walle, Mr. Nestor Cyriel","Male",28,"NO","3rd Class"
"1272","Vanden Steen, Mr. Leo Peter","Male",28,"NO","3rd Class"
"1273","Vander Cruyssen, Mr. Victor","Male",47,"NO","3rd Class"
"1274","Vander Planke, Miss. Augusta Maria","Female",18,"NO","3rd Class"
"1275","Vander Planke, Mr. Julius","Male",31,"NO","3rd Class"
"1276","Vander Planke, Mr. Leo Edmondus","Male",16,"NO","3rd Class"
"1277","Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","Female",31,"NO","3rd Class"
"1278","Vartanian, Mr. David","Male",22,"YES","3rd Class"
"1279","Vendel, Mr. Olof Edvin","Male",20,"NO","3rd Class"
"1280","Vestrom, Miss. Hulda Amanda Adolfina","Female",14,"NO","3rd Class"
"1281","Vovk, Mr. Janko","Male",22,"NO","3rd Class"
"1282","Waelens, Mr. Achille","Male",22,"NO","3rd Class"
"1283","Ware, Mr. Frederick","Male",NA,"NO","3rd Class"
"1284","Warren, Mr. Charles William","Male",NA,"NO","3rd Class"
"1285","Webber, Mr. James","Male",NA,"NO","3rd Class"
"1286","Wenzel, Mr. Linhart","Male",32,"NO","3rd Class"
"1287","Whabee, Mrs. George Joseph (Shawneene Abi-Saab)","Female",38,"YES","3rd Class"
"1288","Widegren, Mr. Carl/Charles Peter","Male",51,"NO","3rd Class"
"1289","Wiklund, Mr. Jakob Alfred","Male",18,"NO","3rd Class"
"1290","Wiklund, Mr. Karl Johan","Male",21,"NO","3rd Class"
"1291","Wilkes, Mrs. James (Ellen Needs)","Female",47,"YES","3rd Class"
"1292","Willer, Mr. Aaron (""Abi Weller"")","Male",NA,"NO","3rd Class"
"1293","Willey, Mr. Edward","Male",NA,"NO","3rd Class"
"1294","Williams, Mr. Howard Hugh ""Harry""","Male",NA,"NO","3rd Class"
"1295","Williams, Mr. Leslie","Male",28,"NO","3rd Class"
"1296","Windelov, Mr. Einar","Male",21,"NO","3rd Class"
"1297","Wirz, Mr. Albert","Male",27,"NO","3rd Class"
"1298","Wiseman, Mr. Phillippe","Male",NA,"NO","3rd Class"
"1299","Wittevrongel, Mr. Camille","Male",36,"NO","3rd Class"
"1300","Yasbeck, Mr. Antoni","Male",27,"NO","3rd Class"
"1301","Yasbeck, Mrs. Antoni (Selini Alexander)","Female",15,"YES","3rd Class"
"1302","Youseff, Mr. Gerious","Male",45,"NO","3rd Class"
"1303","Yousif, Mr. Wazli","Male",NA,"NO","3rd Class"
"1304","Yousseff, Mr. Gerious","Male",NA,"NO","3rd Class"
"1305","Zabour, Miss. Hileni","Female",14,"NO","3rd Class"
"1306","Zabour, Miss. Thamine","Female",NA,"NO","3rd Class"
"1307","Zakarian, Mr. Mapriededer","Male",26,"NO","3rd Class"
"1308","Zakarian, Mr. Ortin","Male",27,"NO","3rd Class"
"1309","Zimmerman, Mr. Leo","Male",29,"NO","3rd Class"
